PROFILE_ID,REACHED_40_EVENTS,REACHED_80_EVENTS,EVENT_CYCLES_F40,DISTINCT_ARTICLES_F40,PERCENT_GOOGLE_ARTICLES_F40,PERCENT_ARTICLE_CONTENT_F40,AVERAGE_CONTENT_SCORE_F40,DAYS_TO_FORTY_EVENTS
uxd6ZYIB8Tq1gs32yOtS,1,0,9,5,0.400000,0.714286,0.0,111.0
JKkB0oIB28LFeUkXPGi_,1,0,1,4,0.250000,1.000000,0.0,11.0
Xr5PN4MBGoM3uBpF0THq,1,1,3,4,0.250000,0.666667,250.56633068425052,16.0
C1oi_YMBGoM3uBpFQRl6,1,0,10,6,0.000000,1.000000,0.0,114.0
aoCwcYQBwWEOklUHEYMY,1,1,1,1,1.000000,1.000000,0.0,0.0
WJ2d8oMB28LFeUkXLv_D,1,0,3,4,0.750000,1.000000,0.0,29.0
b8jx44IB28LFeUkXnsIw,1,0,3,9,0.222222,0.900000,14.050425632364922,57.0
FR_DXoIBPPKlNqPWtYJp,1,0,6,7,0.857143,0.875000,77.98304843666035,111.0
wCAAX4IBPPKlNqPW4n9r,1,1,3,6,0.666667,0.666667,39.12375056528368,25.0
n7oZ2oIB28LFeUkXzDZZ,1,0,6,7,0.142857,1.000000,0.0,44.0
A_ySn4IBGoM3uBpF8e55,1,0,5,7,0.000000,1.000000,0.0,49.0
haXQl4IBGoM3uBpFOH4o,1,0,5,3,0.333333,1.000000,0.0,117.0
9yfkboIBGoM3uBpF0Sek,1,0,5,7,0.000000,1.000000,0.0,95.0
cFW40IMBu9aDgDX1W2z3,1,0,5,6,0.333333,0.750000,38.99152421833018,53.0
LsTWsoIBGoM3uBpFgHl6,1,0,5,5,0.600000,1.000000,0.0,61.0
3V6Up4IBGoM3uBpFdCXA,1,0,3,8,0.750000,1.000000,0.0,73.0
8ME6DIMB28LFeUkXRcAc,1,0,1,5,0.000000,0.714286,59.697578432656584,2.0
-SkQo4IBGoM3uBpFKKCB,1,0,6,4,0.250000,1.000000,0.0,126.0
SBlEbYIBGoM3uBpFl4Oy,1,1,1,4,1.000000,1.000000,0.0,5.0
7jcQaIIB8Tq1gs32z2Xp,1,0,2,4,0.250000,1.000000,0.0,23.0
Z3OVWYMB28LFeUkXtpb7,1,0,2,1,0.000000,1.000000,0.0,8.0
E-5va4MB28LFeUkXsMsp,1,1,1,1,1.000000,1.000000,0.0,3.0
c2TpkYIBGoM3uBpFHmwm,1,0,8,9,0.444444,1.000000,0.0,116.0
krbB14IB28LFeUkXExJe,1,0,9,7,0.428571,1.000000,0.0,119.0
eNcx_4EBUgM-564PWZQs,1,0,2,2,0.000000,1.000000,0.0,10.0
q2XSHYMB28LFeUkXFz2G,1,0,7,3,0.666667,0.750000,0.0,96.0
YRMQbIIBGoM3uBpFvovm,1,0,7,7,0.142857,1.000000,0.0,66.0
NSOXLoQBwWEOklUHoedK,1,0,1,5,0.200000,1.000000,0.0,1.0
PkpqaYIB8Tq1gs32Fww8,1,1,4,6,0.333333,0.500000,57.079223662088495,29.0
j80bfoIBGoM3uBpFBj9f,1,0,3,8,0.250000,1.000000,0.0,144.0
QDxHyIIBGoM3uBpF8xuB,1,0,3,4,0.000000,0.666667,66.33064270295176,44.0
PiTaxIIBGoM3uBpFuCF1,1,1,2,3,0.000000,0.600000,360.8490712478723,15.0
y4K2W4MB28LFeUkX8mOG,1,0,1,1,0.000000,1.000000,0.0,4.0
eHWMIYMB28LFeUkXmk9v,1,0,5,3,0.333333,1.000000,0.0,67.0
